node, 0, 100, 0
node, 1, 96.5926, 25.8819
node, 2, 86.6025, 50
node, 3, 70.7107, 70.7107
node, 4, 50, 86.6025
node, 5, 25.8819, 96.5926
node, 6, 0, 100
node, 7, -25.8819, 96.5926
node, 8, -50, 86.6025
node, 9, -70.7107, 70.7107
node, 10, -86.6025, 50
node, 11, -96.5926, 25.8819
node, 12, -100, 0
node, 13, -96.5926, -25.8819
node, 14, -86.6025, -50
node, 15, -70.7107, -70.7107
node, 16, -50, -86.6025
node, 17, -25.8819, -96.5926
node, 18, -0, -100
node, 19, 25.8819, -96.5926
node, 20, 50, -86.6025
node, 21, 70.7107, -70.7107
node, 22, 86.6025, -50
node, 23, 96.5926, -25.8819
line, 0, 0, 1, 1
line, 1, 1, 2, 1
line, 2, 2, 3, 1
line, 3, 3, 4, 1
line, 4, 4, 5, 1
line, 5, 5, 6, 1
line, 6, 6, 7, 1
line, 7, 7, 8, 1
line, 8, 8, 9, 1
line, 9, 9, 10, 1
line, 10, 10, 11, 1
line, 11, 11, 12, 1
line, 12, 12, 13, 1
line, 13, 13, 14, 1
line, 14, 14, 15, 1
line, 15, 15, 16, 1
line, 16, 16, 17, 1
line, 17, 17, 18, 1
line, 18, 18, 19, 1
line, 19, 19, 20, 1
line, 20, 20, 21, 1
line, 21, 21, 22, 1
line, 22, 22, 23, 1
line, 23, 23, 0, 1
line,24,0,2,2
line,25,2,4,2
line,26,4,6,2
line,27,6,8,2
line,28,8,10,2
line,29,10,12,2
line,30,12,14,2
line,31,14,16,2
line,32,16,18,2
line,33,18,20,2
line,34,20,22,2
line,35,22,0,2
line,36,1,3,2
line,37,3,5,2
line,38,5,7,2
line,39,7,9,2
line,40,9,11,2
line,41,11,13,2
line,42,13,15,2
line,43,15,17,2
line,44,17,19,2
line,45,19,21,2
line,46,21,23,2
line,47,23,1,2
line,48,0,3,3
line,49,3,6,3
line,50,6,9,3
line,51,9,12,3
line,52,12,15,3
line,53,15,18,3
line,54,18,21,3
line,55,21,0,3
line,56,1,4,3
line,57,4,7,3
line,58,7,10,3
line,59,10,13,3
line,60,13,16,3
line,61,16,19,3
line,62,19,22,3
line,63,22,1,3
line,64,2,5,3
line,65,5,8,3
line,66,8,11,3
line,67,11,14,3
line,68,14,17,3
line,69,17,20,3
line,70,20,23,3
line,71,23,2,3
line,72,0,4,4
line,73,4,8,4
line,74,8,12,4
line,75,12,16,4
line,76,16,20,4
line,77,20,0,4
line,78,1,5,4
line,79,5,9,4
line,80,9,13,4
line,81,13,17,4
line,82,17,21,4
line,83,21,1,4
line,84,2,6,4
line,85,6,10,4
line,86,10,14,4
line,87,14,18,4
line,88,18,22,4
line,89,22,2,4
line,90,3,7,4
line,91,7,11,4
line,92,11,15,4
line,93,15,19,4
line,94,19,23,4
line,95,23,3,4
line,96,0,5,5
line,97,5,10,5
line,98,10,15,5
line,99,15,20,5
line,100,20,1,5
line,101,1,6,5
line,102,6,11,5
line,103,11,16,5
line,104,16,21,5
line,105,21,2,5
line,106,2,7,5
line,107,7,12,5
line,108,12,17,5
line,109,17,22,5
line,110,22,3,5
line,111,3,8,5
line,112,8,13,5
line,113,13,18,5
line,114,18,23,5
line,115,23,4,5
line,116,4,9,5
line,117,9,14,5
line,118,14,19,5
line,119,19,0,5
line,120,0,6,6
line,121,6,12,6
line,122,12,18,6
line,123,18,0,6
line,124,1,7,6
line,125,7,13,6
line,126,13,19,6
line,127,19,1,6
line,128,2,8,6
line,129,8,14,6
line,130,14,20,6
line,131,20,2,6
line,132,3,9,6
line,133,9,15,6
line,134,15,21,6
line,135,21,3,6
line,136,4,10,6
line,137,10,16,6
line,138,16,22,6
line,139,22,4,6
line,140,5,11,6
line,141,11,17,6
line,142,17,23,6
line,143,23,5,6
line,144,0,7,7
line,145,7,14,7
line,146,14,21,7
line,147,21,4,7
line,148,4,11,7
line,149,11,18,7
line,150,18,1,7
line,151,1,8,7
line,152,8,15,7
line,153,15,22,7
line,154,22,5,7
line,155,5,12,7
line,156,12,19,7
line,157,19,2,7
line,158,2,9,7
line,159,9,16,7
line,160,16,23,7
line,161,23,6,7
line,162,6,13,7
line,163,13,20,7
line,164,20,3,7
line,165,3,10,7
line,166,10,17,7
line,167,17,0,7
line,168,0,8,8
line,169,8,16,8
line,170,16,0,8
line,171,1,9,8
line,172,9,17,8
line,173,17,1,8
line,174,2,10,8
line,175,10,18,8
line,176,18,2,8
line,177,3,11,8
line,178,11,19,8
line,179,19,3,8
line,180,4,12,8
line,181,12,20,8
line,182,20,4,8
line,183,5,13,8
line,184,13,21,8
line,185,21,5,8
line,186,6,14,8
line,187,14,22,8
line,188,22,6,8
line,189,7,15,8
line,190,15,23,8
line,191,23,7,8
line,192,0,9,9
line,193,9,18,9
line,194,18,3,9
line,195,1,10,9
line,196,10,19,9
line,197,19,4,9
line,198,2,11,9
line,199,11,20,9
line,200,20,5,9
line,201,3,12,9
line,202,12,21,9
line,203,21,6,9
line,204,4,13,9
line,205,13,22,9
line,206,22,7,9
line,207,5,14,9
line,208,14,23,9
line,209,23,8,9
line,210,6,15,9
line,211,15,0,9
line,212,7,16,9
line,213,16,1,9
line,214,8,17,9
line,215,17,2,9
line,216,0,10,10
line,217,10,20,10
line,218,20,6,10
line,219,1,11,10
line,220,11,21,10
line,221,21,7,10
line,222,2,12,10
line,223,12,22,10
line,224,22,8,10
line,225,3,13,10
line,226,13,23,10
line,227,23,9,10
line,228,4,14,10
line,229,14,0,10
line,230,5,15,10
line,231,15,1,10
line,232,6,16,10
line,233,16,2,10
line,234,7,17,10
line,235,17,3,10
line,236,8,18,10
line,237,18,4,10
line,238,9,19,10
line,239,19,5,10
line,240,0,11,11
line,241,11,22,11
line,242,22,9,11
line,243,1,12,11
line,244,12,23,11
line,245,23,10,11
line,246,2,13,11
line,247,13,0,11
line,248,3,14,11
line,249,14,1,11
line,250,4,15,11
line,251,15,2,11
line,252,5,16,11
line,253,16,3,11
line,254,6,17,11
line,255,17,4,11
line,256,7,18,11
line,257,18,5,11
line,258,8,19,11
line,259,19,6,11
line,260,9,20,11
line,261,20,7,11
line,262,10,21,11
line,263,21,8,11
line,264,0,12,12
line,265,1,13,12
line,266,2,14,12
line,267,3,15,12
line,268,4,16,12
line,269,5,17,12
line,270,6,18,12
line,271,7,19,12
line,272,8,20,12
line,273,9,21,12
line,274,10,22,12
line,275,11,23,12
mtrl, 0, Default Rigid, inf
mtrl, 1, Default Spring, 14673.87014
mtrl, 2, Default Spring, 3732.050808
mtrl, 3, Default Spring, 1707.106781
mtrl, 4, Default Spring, 1000
mtrl, 5, Default Spring, 674.5990931
mtrl, 6, Default Spring, 500
mtrl, 7, Default Spring, 397.1976766
mtrl, 8, Default Spring, 333.3333333
mtrl, 9, Default Spring, 292.8932188
mtrl, 10, Default Spring, 267.9491924
mtrl, 11, Default Spring, 254.333095
mtrl, 12, Default Spring, 250
