node, 0, 0, 0
node, 1, 1000, 0
node, 2, 996.195, 87.1557
node, 3, 984.808, 173.648
node, 4, 965.926, 258.819
node, 5, 939.693, 342.02
node, 6, 906.308, 422.618
node, 7, 866.025, 500
node, 8, 819.152, 573.576
node, 9, 766.044, 642.788
node, 10, 707.107, 707.107
node, 11, 642.788, 766.044
node, 12, 573.576, 819.152
node, 13, 500, 866.025
node, 14, 422.618, 906.308
node, 15, 342.02, 939.693
node, 16, 258.819, 965.926
node, 17, 173.648, 984.808
node, 18, 87.1557, 996.195
node, 19, 0, 1000
node, 20, -87.1557, 996.195
node, 21, -173.648, 984.808
node, 22, -258.819, 965.926
node, 23, -342.02, 939.693
node, 24, -422.618, 906.308
node, 25, -500, 866.025
node, 26, -573.576, 819.152
node, 27, -642.788, 766.044
node, 28, -707.107, 707.107
node, 29, -766.044, 642.788
node, 30, -819.152, 573.576
node, 31, -866.025, 500
node, 32, -906.308, 422.618
node, 33, -939.693, 342.02
node, 34, -965.926, 258.819
node, 35, -984.808, 173.648
node, 36, -996.195, 87.1557
node, 37, -1000, 0
node, 38, -996.195, -87.1557
node, 39, -984.808, -173.648
node, 40, -965.926, -258.819
node, 41, -939.693, -342.02
node, 42, -906.308, -422.618
node, 43, -866.025, -500
node, 44, -819.152, -573.576
node, 45, -766.044, -642.788
node, 46, -707.107, -707.107
node, 47, -642.788, -766.044
node, 48, -573.576, -819.152
node, 49, -500, -866.025
node, 50, -422.618, -906.308
node, 51, -342.02, -939.693
node, 52, -258.819, -965.926
node, 53, -173.648, -984.808
node, 54, -87.1557, -996.195
node, 55, -0, -1000
node, 56, 87.1557, -996.195
node, 57, 173.648, -984.808
node, 58, 258.819, -965.926
node, 59, 342.02, -939.693
node, 60, 422.618, -906.308
node, 61, 500, -866.025
node, 62, 573.576, -819.152
node, 63, 642.788, -766.044
node, 64, 707.107, -707.107
node, 65, 766.044, -642.788
node, 66, 819.152, -573.576
node, 67, 866.025, -500
node, 68, 906.308, -422.618
node, 69, 939.693, -342.02
node, 70, 965.926, -258.819
node, 71, 984.808, -173.648
node, 72, 996.195, -87.1557
line, 0, 0, 1, 1
line, 1, 0, 2, 1
line, 2, 0, 3, 1
line, 3, 0, 4, 1
line, 4, 0, 5, 1
line, 5, 0, 6, 1
line, 6, 0, 7, 1
line, 7, 0, 8, 1
line, 8, 0, 9, 1
line, 9, 0, 10, 1
line, 10, 0, 11, 1
line, 11, 0, 12, 1
line, 12, 0, 13, 1
line, 13, 0, 14, 1
line, 14, 0, 15, 1
line, 15, 0, 16, 1
line, 16, 0, 17, 1
line, 17, 0, 18, 1
line, 18, 0, 19, 1
line, 19, 0, 20, 1
line, 20, 0, 21, 1
line, 21, 0, 22, 1
line, 22, 0, 23, 1
line, 23, 0, 24, 1
line, 24, 0, 25, 1
line, 25, 0, 26, 1
line, 26, 0, 27, 1
line, 27, 0, 28, 1
line, 28, 0, 29, 1
line, 29, 0, 30, 1
line, 30, 0, 31, 1
line, 31, 0, 32, 1
line, 32, 0, 33, 1
line, 33, 0, 34, 1
line, 34, 0, 35, 1
line, 35, 0, 36, 1
line, 36, 0, 37, 1
line, 37, 0, 38, 1
line, 38, 0, 39, 1
line, 39, 0, 40, 1
line, 40, 0, 41, 1
line, 41, 0, 42, 1
line, 42, 0, 43, 1
line, 43, 0, 44, 1
line, 44, 0, 45, 1
line, 45, 0, 46, 1
line, 46, 0, 47, 1
line, 47, 0, 48, 1
line, 48, 0, 49, 1
line, 49, 0, 50, 1
line, 50, 0, 51, 1
line, 51, 0, 52, 1
line, 52, 0, 53, 1
line, 53, 0, 54, 1
line, 54, 0, 55, 1
line, 55, 0, 56, 1
line, 56, 0, 57, 1
line, 57, 0, 58, 1
line, 58, 0, 59, 1
line, 59, 0, 60, 1
line, 60, 0, 61, 1
line, 61, 0, 62, 1
line, 62, 0, 63, 1
line, 63, 0, 64, 1
line, 64, 0, 65, 1
line, 65, 0, 66, 1
line, 66, 0, 67, 1
line, 67, 0, 68, 1
line, 68, 0, 69, 1
line, 69, 0, 70, 1
line, 70, 0, 71, 1
line, 71, 0, 72, 1
line, 72, 1, 2, 0
line, 73, 2, 3, 0
line, 74, 3, 4, 0
line, 75, 4, 5, 0
line, 76, 5, 6, 0
line, 77, 6, 7, 0
line, 78, 7, 8, 0
line, 79, 8, 9, 0
line, 80, 9, 10, 0
line, 81, 10, 11, 0
line, 82, 11, 12, 0
line, 83, 12, 13, 0
line, 84, 13, 14, 0
line, 85, 14, 15, 0
line, 86, 15, 16, 0
line, 87, 16, 17, 0
line, 88, 17, 18, 0
line, 89, 18, 19, 0
line, 90, 19, 20, 0
line, 91, 20, 21, 0
line, 92, 21, 22, 0
line, 93, 22, 23, 0
line, 94, 23, 24, 0
line, 95, 24, 25, 0
line, 96, 25, 26, 0
line, 97, 26, 27, 0
line, 98, 27, 28, 0
line, 99, 28, 29, 0
line, 100, 29, 30, 0
line, 101, 30, 31, 0
line, 102, 31, 32, 0
line, 103, 32, 33, 0
line, 104, 33, 34, 0
line, 105, 34, 35, 0
line, 106, 35, 36, 0
line, 107, 36, 37, 0
line, 108, 37, 38, 0
line, 109, 38, 39, 0
line, 110, 39, 40, 0
line, 111, 40, 41, 0
line, 112, 41, 42, 0
line, 113, 42, 43, 0
line, 114, 43, 44, 0
line, 115, 44, 45, 0
line, 116, 45, 46, 0
line, 117, 46, 47, 0
line, 118, 47, 48, 0
line, 119, 48, 49, 0
line, 120, 49, 50, 0
line, 121, 50, 51, 0
line, 122, 51, 52, 0
line, 123, 52, 53, 0
line, 124, 53, 54, 0
line, 125, 54, 55, 0
line, 126, 55, 56, 0
line, 127, 56, 57, 0
line, 128, 57, 58, 0
line, 129, 58, 59, 0
line, 130, 59, 60, 0
line, 131, 60, 61, 0
line, 132, 61, 62, 0
line, 133, 62, 63, 0
line, 134, 63, 64, 0
line, 135, 64, 65, 0
line, 136, 65, 66, 0
line, 137, 66, 67, 0
line, 138, 67, 68, 0
line, 139, 68, 69, 0
line, 140, 69, 70, 0
line, 141, 70, 71, 0
line, 142, 71, 72, 0
line, 143, 72, 1, 0
ptms, 28, 10, 10
ptms, 29, 10, 10
ptms, 30, 10, 10
ptms, 31, 10, 10
ptms, 32, 10, 10
ptms, 33, 10, 10
ptms, 34, 10, 10
ptms, 35, 10, 10
ptms, 36, 10, 10
ptms, 37, 10, 10
ptms, 38, 10, 10
ptms, 39, 10, 10
ptms, 40, 10, 10
ptms, 41, 10, 10
ptms, 42, 10, 10
ptms, 43, 10, 10
ptms, 44, 10, 10
ptms, 45, 10, 10
ptms, 46, 10, 10
ptms, 1, 10, 10
ptms, 2, 10, 10
ptms, 3, 10, 10
ptms, 4, 10, 10
ptms, 5, 10, 10
ptms, 6, 10, 10
ptms, 7, 10, 10
ptms, 8, 10, 10
ptms, 9, 10, 10
ptms, 10, 10, 10
ptms, 11, 10, 10
ptms, 12, 10, 10
ptms, 13, 10, 10
ptms, 14, 10, 10
ptms, 15, 10, 10
ptms, 16, 10, 10
ptms, 17, 10, 10
ptms, 18, 10, 10
ptms, 19, 10, 10
ptms, 20, 10, 10
ptms, 21, 10, 10
ptms, 22, 10, 10
ptms, 23, 10, 10
ptms, 24, 10, 10
ptms, 25, 10, 10
ptms, 26, 10, 10
ptms, 27, 10, 10
ptms, 47, 10, 10
ptms, 48, 10, 10
ptms, 49, 10, 10
ptms, 50, 10, 10
ptms, 51, 10, 10
ptms, 52, 10, 10
ptms, 53, 10, 10
ptms, 54, 10, 10
ptms, 55, 10, 10
ptms, 56, 10, 10
ptms, 57, 10, 10
ptms, 58, 10, 10
ptms, 59, 10, 10
ptms, 60, 10, 10
ptms, 61, 10, 10
ptms, 62, 10, 10
ptms, 63, 10, 10
ptms, 64, 10, 10
ptms, 65, 10, 10
ptms, 66, 10, 10
ptms, 67, 10, 10
ptms, 68, 10, 10
ptms, 69, 10, 10
ptms, 70, 10, 10
ptms, 71, 10, 10
ptms, 72, 10, 10
ptms, 0, 720, 720
mtrl, 0, Default Rigid, inf
mtrl, 1, Default Spring, 100
