node, 0, -300, 300
node, 1, -240, 240
node, 2, -180, 180
node, 3, -120, 120
node, 4, -60, 60
node, 5, 6.38056e-06, -8.93279e-06
node, 6, 60, -60
node, 7, 120, -120
node, 8, 180, -180
node, 9, 240, -240
node, 10, 300, -300
node, 11, -300, 240
node, 12, -240, 180
node, 13, -180, 120
node, 14, -120, 60
node, 15, -60, -8.93279e-06
node, 16, 6.38056e-06, -60
node, 17, 60, -120
node, 18, 120, -180
node, 19, 180, -240
node, 20, 240, -300
node, 21, 300, 300
line, 0, 0, 1, 0
line, 1, 1, 2, 0
line, 2, 2, 3, 0
line, 3, 3, 4, 0
line, 4, 4, 5, 0
line, 5, 5, 6, 0
line, 6, 6, 7, 0
line, 7, 7, 8, 0
line, 8, 8, 9, 0
line, 9, 9, 10, 0
line, 10, 0, 11, 0
line, 11, 11, 1, 0
line, 12, 1, 12, 0
line, 13, 12, 2, 0
line, 14, 11, 12, 0
line, 15, 12, 13, 0
line, 16, 2, 13, 0
line, 17, 13, 3, 0
line, 18, 3, 14, 0
line, 19, 14, 4, 0
line, 20, 13, 14, 0
line, 21, 14, 15, 0
line, 22, 4, 15, 0
line, 23, 15, 5, 0
line, 24, 5, 16, 0
line, 25, 16, 6, 0
line, 26, 15, 16, 0
line, 27, 16, 17, 0
line, 28, 6, 17, 0
line, 29, 17, 7, 0
line, 30, 7, 18, 0
line, 31, 18, 8, 0
line, 32, 17, 18, 0
line, 33, 18, 19, 0
line, 34, 8, 19, 0
line, 35, 19, 9, 0
line, 36, 9, 20, 0
line, 37, 20, 10, 0
line, 38, 19, 20, 0
line, 39, 5, 21, 1
line, 41, 10, 21, 2
cnst, 21, 1, 0
cnst, 10, 0, 90
ptms, 0, 1, 1
mtrl, 0, Default Rigid, inf
mtrl, 1, Default Spring, 100
mtrl, 2, New Material, 1
