node, 0, -1178.6, 103.114
node, 1, -1000, 0
node, 2, -1178.6, -103.114
node, 3, -1142.79, -306.209
node, 4, -984.808, -173.648
node, 5, -1072.25, -500
node, 6, -939.693, -342.02
node, 7, -969.139, -678.599
node, 8, -866.025, -500
node, 9, -836.579, -836.579
node, 10, -766.044, -642.788
node, 11, -678.599, -969.139
node, 12, -642.788, -766.044
node, 13, -500, -1072.25
node, 14, -500, -866.025
node, 15, -306.209, -1142.79
node, 16, -342.02, -939.693
node, 17, -103.114, -1178.6
node, 18, 0, -1000
node, 19, 103.114, -1178.6
node, 20, -173.648, -984.808
node, 21, 173.648, -984.808
node, 22, 306.209, -1142.79
node, 23, 342.02, -939.693
node, 24, 500, -1072.25
node, 25, 500, -866.025
node, 26, 678.599, -969.139
node, 27, 642.788, -766.044
node, 28, 836.579, -836.579
node, 29, 766.044, -642.788
node, 30, 969.139, -678.599
node, 31, 866.025, -500
node, 32, 1072.25, -500
node, 33, 939.693, -342.02
node, 34, 1142.79, -306.209
node, 35, 984.808, -173.648
node, 36, 1178.6, -103.114
node, 37, 1178.6, 103.114
node, 38, 1000, 0
node, 39, -1142.79, 306.209
node, 40, -984.808, 173.648
node, 41, -1072.25, 500
node, 42, -939.693, 342.02
node, 43, -969.139, 678.599
node, 44, -866.025, 500
node, 45, -836.579, 836.579
node, 46, -766.044, 642.788
node, 47, -678.599, 969.139
node, 48, -642.788, 766.044
node, 49, -500, 1072.25
node, 50, -500, 866.025
node, 51, -306.209, 1142.79
node, 52, -342.02, 939.693
node, 53, -103.114, 1178.6
node, 54, 0, 1000
node, 55, 103.114, 1178.6
node, 56, -173.648, 984.808
node, 57, 173.648, 984.808
node, 58, 306.209, 1142.79
node, 59, 342.02, 939.693
node, 60, 500, 1072.25
node, 61, 500, 866.025
node, 62, 678.599, 969.139
node, 63, 642.788, 766.044
node, 64, 836.579, 836.579
node, 65, 766.044, 642.788
node, 66, 969.139, 678.599
node, 67, 866.025, 500
node, 68, 1072.25, 500
node, 69, 939.693, 342.02
node, 70, 1142.79, 306.209
node, 71, 984.808, 173.648
line, 0, 0, 1, 1
line, 1, 1, 2, 1
line, 2, 3, 4, 1
line, 3, 4, 2, 1
line, 4, 5, 6, 1
line, 5, 6, 3, 1
line, 6, 7, 8, 1
line, 7, 8, 5, 1
line, 8, 9, 10, 1
line, 9, 10, 7, 1
line, 10, 11, 12, 1
line, 11, 12, 9, 1
line, 12, 13, 14, 1
line, 13, 14, 11, 1
line, 14, 15, 16, 1
line, 15, 16, 13, 1
line, 16, 17, 18, 1
line, 17, 18, 19, 1
line, 18, 17, 20, 1
line, 19, 20, 15, 1
line, 20, 19, 21, 1
line, 21, 21, 22, 1
line, 22, 22, 23, 1
line, 23, 23, 24, 1
line, 24, 24, 25, 1
line, 25, 25, 26, 1
line, 26, 26, 27, 1
line, 27, 27, 28, 1
line, 28, 28, 29, 1
line, 29, 29, 30, 1
line, 30, 30, 31, 1
line, 31, 31, 32, 1
line, 32, 32, 33, 1
line, 33, 33, 34, 1
line, 34, 34, 35, 1
line, 35, 35, 36, 1
line, 36, 37, 38, 1
line, 37, 38, 36, 1
line, 38, 38, 35, 1
line, 39, 35, 33, 1
line, 40, 33, 31, 1
line, 41, 31, 29, 1
line, 42, 29, 27, 1
line, 43, 27, 25, 1
line, 44, 25, 23, 1
line, 45, 23, 21, 1
line, 46, 21, 18, 1
line, 47, 18, 20, 1
line, 48, 20, 16, 1
line, 49, 16, 14, 1
line, 50, 14, 12, 1
line, 51, 12, 10, 1
line, 52, 10, 8, 1
line, 53, 8, 6, 1
line, 54, 6, 4, 1
line, 55, 4, 1, 1
line, 56, 37, 36, 0
line, 57, 36, 34, 0
line, 58, 34, 32, 0
line, 59, 32, 30, 0
line, 60, 30, 28, 0
line, 61, 28, 26, 0
line, 62, 26, 24, 0
line, 63, 24, 22, 0
line, 64, 22, 19, 0
line, 65, 19, 17, 0
line, 66, 17, 15, 0
line, 67, 15, 13, 0
line, 68, 13, 11, 0
line, 69, 11, 9, 0
line, 70, 9, 7, 0
line, 71, 7, 5, 0
line, 72, 5, 3, 0
line, 73, 3, 2, 0
line, 74, 2, 0, 0
line, 75, 39, 40, 1
line, 76, 40, 0, 1
line, 77, 41, 42, 1
line, 78, 42, 39, 1
line, 79, 43, 44, 1
line, 80, 44, 41, 1
line, 81, 45, 46, 1
line, 82, 46, 43, 1
line, 83, 47, 48, 1
line, 84, 48, 45, 1
line, 85, 49, 50, 1
line, 86, 50, 47, 1
line, 87, 51, 52, 1
line, 88, 52, 49, 1
line, 89, 53, 54, 1
line, 90, 54, 55, 1
line, 91, 53, 56, 1
line, 92, 56, 51, 1
line, 93, 55, 57, 1
line, 94, 57, 58, 1
line, 95, 58, 59, 1
line, 96, 59, 60, 1
line, 97, 60, 61, 1
line, 98, 61, 62, 1
line, 99, 62, 63, 1
line, 100, 63, 64, 1
line, 101, 64, 65, 1
line, 102, 65, 66, 1
line, 103, 66, 67, 1
line, 104, 67, 68, 1
line, 105, 68, 69, 1
line, 106, 69, 70, 1
line, 107, 70, 71, 1
line, 108, 71, 37, 1
line, 109, 38, 71, 1
line, 110, 71, 69, 1
line, 111, 69, 67, 1
line, 112, 67, 65, 1
line, 113, 65, 63, 1
line, 114, 63, 61, 1
line, 115, 61, 59, 1
line, 116, 59, 57, 1
line, 117, 57, 54, 1
line, 118, 54, 56, 1
line, 119, 56, 52, 1
line, 120, 52, 50, 1
line, 121, 50, 48, 1
line, 122, 48, 46, 1
line, 123, 46, 44, 1
line, 124, 44, 42, 1
line, 125, 42, 40, 1
line, 126, 40, 1, 1
line, 127, 37, 70, 0
line, 128, 70, 68, 0
line, 129, 68, 66, 0
line, 130, 66, 64, 0
line, 131, 64, 62, 0
line, 132, 62, 60, 0
line, 133, 60, 58, 0
line, 134, 58, 55, 0
line, 135, 55, 53, 0
line, 136, 53, 51, 0
line, 137, 51, 49, 0
line, 138, 49, 47, 0
line, 139, 47, 45, 0
line, 140, 45, 43, 0
line, 141, 43, 41, 0
line, 142, 41, 39, 0
line, 143, 39, 0, 0
mtrl, 0, Default Rigid, inf
mtrl, 1, Default Spring, 100
