node, 0, -770.746, 8.07612
node, 1, -728.32, 50.5025
node, 2, -685.894, 8.07612
node, 3, -643.467, 50.5025
node, 4, -601.041, 8.07612
node, 5, -558.614, 50.5025
node, 6, -516.188, 8.07612
node, 7, -473.762, 50.5025
node, 8, -431.335, 8.07612
node, 9, -388.909, 50.5025
node, 10, -346.482, 8.07612
node, 11, -304.056, 50.5025
node, 12, -261.63, 8.07612
node, 13, -219.203, 50.5025
node, 14, -176.777, 8.07612
node, 15, -134.35, 50.5025
node, 16, -91.9239, 8.07612
node, 17, -49.4975, 50.5025
node, 18, -7.07108, 8.07612
node, 19, 35.3553, 50.5025
node, 20, 77.7817, 8.07612
node, 21, 120.208, 50.5025
node, 22, 162.635, 8.07612
node, 23, 205.061, 50.5025
node, 24, 247.487, 8.07612
node, 25, 289.914, 50.5025
node, 26, 332.34, 8.07612
node, 27, 374.767, 50.5025
node, 28, 417.193, 8.07612
node, 29, 459.619, 50.5025
node, 30, 502.046, 8.07612
node, 31, 544.472, 50.5025
node, 32, 586.899, 8.07612
node, 33, -728.32, -34.3503
node, 34, -643.467, -34.3503
node, 35, -558.614, -34.3503
node, 36, -473.762, -34.3503
node, 37, -388.909, -34.3503
node, 38, -304.056, -34.3503
node, 39, -219.203, -34.3503
node, 40, -134.35, -34.3503
node, 41, -49.4975, -34.3503
node, 42, 35.3553, -34.3503
node, 43, 120.208, -34.3503
node, 44, 205.061, -34.3503
node, 45, 289.914, -34.3503
node, 46, 374.767, -34.3503
node, 47, 459.619, -34.3503
node, 48, 544.472, -34.3503
node, 51, -261.63, -191.924
node, 54, 586.899, -191.924
node, 49, -403.051, 149.497
node, 50, -120.208, 149.497
node, 52, 728.32, 149.497
node, 53, 445.477, 149.497
line, 0, 0, 1, 0
line, 1, 1, 2, 0
line, 2, 2, 3, 0
line, 3, 3, 4, 0
line, 4, 0, 2, 0
line, 5, 1, 3, 0
line, 6, 2, 4, 0
line, 7, 3, 5, 0
line, 8, 4, 5, 0
line, 9, 5, 6, 0
line, 10, 6, 7, 0
line, 11, 7, 8, 0
line, 12, 4, 6, 0
line, 13, 5, 7, 0
line, 14, 6, 8, 0
line, 15, 7, 9, 0
line, 16, 8, 9, 0
line, 17, 9, 10, 0
line, 18, 10, 11, 0
line, 19, 11, 12, 0
line, 20, 8, 10, 0
line, 21, 9, 11, 0
line, 22, 10, 12, 0
line, 24, 12, 13, 0
line, 25, 13, 14, 0
line, 26, 14, 15, 0
line, 27, 15, 16, 0
line, 28, 12, 14, 0
line, 29, 13, 15, 0
line, 30, 14, 16, 0
line, 31, 15, 17, 0
line, 32, 16, 17, 0
line, 33, 17, 18, 0
line, 34, 18, 19, 0
line, 35, 19, 20, 0
line, 36, 16, 18, 0
line, 37, 17, 19, 0
line, 38, 18, 20, 0
line, 39, 19, 21, 0
line, 40, 20, 21, 0
line, 41, 21, 22, 0
line, 42, 22, 23, 0
line, 43, 23, 24, 0
line, 44, 20, 22, 0
line, 45, 21, 23, 0
line, 46, 22, 24, 0
line, 47, 23, 25, 0
line, 48, 24, 25, 0
line, 49, 25, 26, 0
line, 50, 26, 27, 0
line, 51, 27, 28, 0
line, 52, 24, 26, 0
line, 53, 25, 27, 0
line, 54, 26, 28, 0
line, 55, 27, 29, 0
line, 56, 28, 29, 0
line, 57, 29, 30, 0
line, 58, 30, 31, 0
line, 59, 31, 32, 0
line, 60, 28, 30, 0
line, 61, 29, 31, 0
line, 62, 30, 32, 0
line, 63, 0, 33, 0
line, 64, 33, 2, 0
line, 65, 2, 34, 0
line, 66, 34, 4, 0
line, 67, 33, 34, 0
line, 68, 34, 35, 0
line, 69, 4, 35, 0
line, 70, 35, 6, 0
line, 71, 6, 36, 0
line, 72, 36, 8, 0
line, 73, 35, 36, 0
line, 74, 36, 37, 0
line, 75, 8, 37, 0
line, 76, 37, 10, 0
line, 77, 10, 38, 0
line, 78, 38, 12, 0
line, 79, 37, 38, 0
line, 81, 12, 39, 0
line, 82, 39, 14, 0
line, 83, 14, 40, 0
line, 84, 40, 16, 0
line, 85, 39, 40, 0
line, 86, 40, 41, 0
line, 87, 16, 41, 0
line, 88, 41, 18, 0
line, 89, 18, 42, 0
line, 90, 42, 20, 0
line, 91, 41, 42, 0
line, 92, 42, 43, 0
line, 93, 20, 43, 0
line, 94, 43, 22, 0
line, 95, 22, 44, 0
line, 96, 44, 24, 0
line, 97, 43, 44, 0
line, 98, 44, 45, 0
line, 99, 24, 45, 0
line, 100, 45, 26, 0
line, 101, 26, 46, 0
line, 102, 46, 28, 0
line, 103, 45, 46, 0
line, 104, 46, 47, 0
line, 105, 28, 47, 0
line, 106, 47, 30, 0
line, 107, 30, 48, 0
line, 108, 48, 32, 0
line, 109, 47, 48, 0
line, 110, 12, 51, 1
line, 113, 32, 54, 1
line, 114, 11, 13, 0
line, 115, 38, 39, 0
line, 23, 12, 49, 1
line, 80, 12, 50, 1
line, 111, 32, 52, 1
line, 112, 32, 53, 1
cnst, 49, 0, 270
cnst, 50, 0, 270
cnst, 52, 0, 270
cnst, 53, 0, 270
cnst, 51, 0, 90
cnst, 54, 0, 90
cnst, 0, 1, 90
ptms, 12, 100, 100
ptms, 32, 100, 100
mtrl, 0, Default Rigid, inf
mtrl, 1, Default Spring, 100
