######################################################
####### Samson Mano's Varai2D Raw Data ###############
######################################################
[+] End Points, 55
0, -770.7463989257812, 8.076118469238281
1, -728.3200073242188, 50.502525329589844
2, -685.8935852050781, 8.076118469238281
3, -643.4671936035156, 50.502525329589844
4, -601.040771484375, 8.076118469238281
5, -558.6143798828125, 50.502525329589844
6, -516.1879577636719, 8.076118469238281
7, -473.7615661621094, 50.502525329589844
8, -431.33514404296875, 8.076118469238281
9, -388.90875244140625, 50.502525329589844
10, -346.4823303222656, 8.076118469238281
11, -304.0559387207031, 50.502525329589844
12, -261.6295166015625, 8.076118469238281
13, -219.203125, 50.502525329589844
14, -176.77670288085938, 8.076118469238281
15, -134.35031127929688, 50.502525329589844
16, -91.92388916015625, 8.076118469238281
17, -49.49749755859375, 50.502525329589844
18, -7.071075439453125, 8.076118469238281
19, 35.355316162109375, 50.502525329589844
20, 77.78173828125, 8.076118469238281
21, 120.2081298828125, 50.502525329589844
22, 162.63455200195312, 8.076118469238281
23, 205.06094360351562, 50.502525329589844
24, 247.48736572265625, 8.076118469238281
25, 289.91375732421875, 50.502525329589844
26, 332.34014892578125, 8.076118469238281
27, 374.76654052734375, 50.502525329589844
28, 417.1929931640625, 8.076118469238281
29, 459.619384765625, 50.502525329589844
30, 502.0458374023437, 8.076118469238281
31, 544.4722290039062, 50.502525329589844
32, 586.8986206054688, 8.076118469238281
33, -728.3200073242188, -34.35028839111328
34, -643.4671936035156, -34.35028839111328
35, -558.6143798828125, -34.35028839111328
36, -473.7615661621094, -34.35028839111328
37, -388.90875244140625, -34.35028839111328
38, -304.0559387207031, -34.35028839111328
39, -219.203125, -34.35028839111328
40, -134.35031127929688, -34.35028839111328
41, -49.49749755859375, -34.35028839111328
42, 35.355316162109375, -34.35028839111328
43, 120.2081298828125, -34.35028839111328
44, 205.06094360351562, -34.35028839111328
45, 289.91375732421875, -34.35028839111328
46, 374.76654052734375, -34.35028839111328
47, 459.619384765625, -34.35028839111328
48, 544.4722290039062, -34.35028839111328
51, -261.6295166015625, -191.92388153076172
54, 586.8986206054688, -191.92388153076172
49, -403.0508656039559, 149.4974703188613
50, -120.20816651129701, 149.4974703188613
52, 728.3199579904227, 149.4974703188613
53, 445.47727250963544, 149.4974703188613
[+] Lines, 116
0, 0, 1
1, 1, 2
2, 2, 3
3, 3, 4
4, 0, 2
5, 1, 3
6, 2, 4
7, 3, 5
8, 4, 5
9, 5, 6
10, 6, 7
11, 7, 8
12, 4, 6
13, 5, 7
14, 6, 8
15, 7, 9
16, 8, 9
17, 9, 10
18, 10, 11
19, 11, 12
20, 8, 10
21, 9, 11
22, 10, 12
24, 12, 13
25, 13, 14
26, 14, 15
27, 15, 16
28, 12, 14
29, 13, 15
30, 14, 16
31, 15, 17
32, 16, 17
33, 17, 18
34, 18, 19
35, 19, 20
36, 16, 18
37, 17, 19
38, 18, 20
39, 19, 21
40, 20, 21
41, 21, 22
42, 22, 23
43, 23, 24
44, 20, 22
45, 21, 23
46, 22, 24
47, 23, 25
48, 24, 25
49, 25, 26
50, 26, 27
51, 27, 28
52, 24, 26
53, 25, 27
54, 26, 28
55, 27, 29
56, 28, 29
57, 29, 30
58, 30, 31
59, 31, 32
60, 28, 30
61, 29, 31
62, 30, 32
63, 0, 33
64, 33, 2
65, 2, 34
66, 34, 4
67, 33, 34
68, 34, 35
69, 4, 35
70, 35, 6
71, 6, 36
72, 36, 8
73, 35, 36
74, 36, 37
75, 8, 37
76, 37, 10
77, 10, 38
78, 38, 12
79, 37, 38
81, 12, 39
82, 39, 14
83, 14, 40
84, 40, 16
85, 39, 40
86, 40, 41
87, 16, 41
88, 41, 18
89, 18, 42
90, 42, 20
91, 41, 42
92, 42, 43
93, 20, 43
94, 43, 22
95, 22, 44
96, 44, 24
97, 43, 44
98, 44, 45
99, 24, 45
100, 45, 26
101, 26, 46
102, 46, 28
103, 45, 46
104, 46, 47
105, 28, 47
106, 47, 30
107, 30, 48
108, 48, 32
109, 47, 48
110, 12, 51
113, 32, 54
114, 11, 13
115, 38, 39
23, 12, 49
80, 12, 50
111, 32, 52
112, 32, 53
######################################################
######################################################
