######################################################
####### Samson Mano's Varai2D Raw Data ###############
######################################################
[+] End Points, 19
0, -189.75023770379258, -164.50836395589843
1, -189.75023770379258, 35.491636389261174
2, -89.75023892090218, 35.491636389261174
3, -89.75023892090218, -164.50836395589843
4, 10.249759861988215, 35.491636389261174
5, 10.249759861988215, -164.50836395589843
6, 110.24975308612096, 35.491636389261174
7, 110.24975308612096, -164.50836395589843
8, 210.249757427769, 35.491636389261174
9, 210.249757427769, -164.50836395589843
10, 310.24976176941703, 35.491636389261174
11, 310.24976176941703, -164.50836395589843
12, 410.24974387603453, 35.491636389261174
13, 410.24974387603453, -164.50836395589843
16, -89.75023892090218, 135.49163795153038
17, 110.24975308612096, 135.49163795153038
18, 310.24976176941703, 135.49163795153038
14, 10.249759861988215, 135.49163795153038
15, 210.249757427769, 135.49163795153038
[+] Lines, 69
0, 0, 1
1, 1, 2
2, 3, 2
3, 2, 4
4, 5, 4
5, 4, 6
6, 7, 6
7, 6, 8
8, 9, 8
9, 8, 10
10, 11, 10
11, 10, 12
12, 13, 12
15, 0, 2
16, 3, 4
17, 5, 6
18, 7, 8
19, 7, 10
20, 7, 12
23, 9, 10
25, 11, 12
28, 5, 8
29, 5, 10
30, 5, 12
32, 7, 4
33, 7, 2
34, 7, 1
26, 13, 10
35, 13, 8
36, 13, 6
37, 9, 6
38, 9, 4
39, 11, 8
40, 11, 6
41, 11, 4
43, 13, 4
44, 13, 2
45, 13, 1
46, 3, 1
47, 3, 6
48, 3, 8
49, 3, 10
50, 3, 12
52, 0, 4
53, 0, 6
54, 0, 8
55, 0, 10
56, 0, 12
62, 9, 2
63, 9, 1
64, 5, 2
65, 5, 1
68, 11, 2
69, 11, 1
70, 2, 16
71, 1, 16
72, 16, 4
73, 6, 17
74, 4, 17
75, 17, 8
76, 10, 18
77, 8, 18
78, 18, 12
13, 4, 14
14, 16, 14
21, 14, 17
22, 8, 15
24, 17, 15
27, 15, 18
######################################################
######################################################
