######################################################
####### Samson Mano's Varai2D Raw Data ###############
######################################################
[+] End Points, 129
0, -6400.00030199688, -0
1, -6300.000301996879, -0
2, -6200.000301996879, -0
3, -6100.00030199688, -0
4, -6000.00030199688, -0
5, -5900.00030199688, -0
6, -5800.000301996879, -0
7, -5700.00030199688, -0
8, -5600.00030199688, -0
9, -5500.00030199688, -0
10, -5400.00030199688, -0
11, -5300.000301996881, -0
12, -5200.000301996881, -0
13, -5100.00030199688, -0
14, -5000.000301996879, -0
15, -4900.00030199688, -0
16, -4800.00030199688, -0
17, -4700.000278155022, -0
18, -4600.000275505927, -0
19, -4500.0002728568315, -0
20, -4400.000270207735, -0
21, -4300.000267558639, -0
22, -4200.000264909544, -0
23, -4100.000262260449, -0
24, -4000.0002596113536, -0
25, -3900.0002569622584, -0
26, -3800.000254313163, -0
27, -3700.0002516640675, -0
28, -3600.000249014972, -0
29, -3500.0002463658766, -0
30, -3400.0002437167814, -0
31, -3300.000241067686, -0
32, -3200.00023841859, -0
33, -3100.000201993528, -0
34, -3000.000197357611, -0
35, -2900.000192721694, -0
36, -2800.000188085777, -0
37, -2700.00018344986, -0
38, -2600.000178813943, -0
39, -2500.000174178026, -0
40, -2400.000169542109, -0
41, -2300.000164906192, -0
42, -2200.0001602702746, -0
43, -2100.0001556343577, -0
44, -2000.0001509984409, -0
45, -1900.0001463625238, -0
46, -1800.000141726607, -0
47, -1700.00013709069, -0
48, -1600.000132454773, -0
49, -1500.000127818856, -0
50, -1400.000123182939, -0
51, -1300.0001185470223, -0
52, -1200.0001139111052, -0
53, -1100.0001092751884, -0
54, -1000.0001046392713, -0
55, -900.0001000033543, -0
56, -800.0000953674372, -0
57, -700.0000907315202, -0
58, -600.0000860956033, -0
59, -500.0000814596863, -0
60, -400.00007682376935, -0
61, -300.0000721878523, -0
62, -200.0000675519353, -0
63, -100.0000629160183, -0
64, -5.8280101298022695E-05, -0
65, 100.00000645717016, -0
66, 200.00001291434032, -0
67, 300.00001937151046, -0
68, 400.00002582868063, -0
69, 500.00003228585075, -0
70, 600.0000387430209, -0
71, 700.000045200191, -0
72, 800.0000516573613, -0
73, 900.0000581145314, -0
74, 1000.0000645717015, -0
75, 1100.0000710288716, -0
76, 1200.0000774860418, -0
77, 1300.000083943212, -0
78, 1400.000090400382, -0
79, 1500.0000968575523, -0
80, 1600.0001033147225, -0
81, 1700.0001097718928, -0
82, 1800.0001162290628, -0
83, 1900.0001226862328, -0
84, 2000.000129143403, -0
85, 2100.0001356005732, -0
86, 2200.0001420577432, -0
87, 2300.0001485149132, -0
88, 2400.0001549720837, -0
89, 2500.0001614292537, -0
90, 2600.000167886424, -0
91, 2700.000174343594, -0
92, 2800.000180800764, -0
93, 2900.0001872579346, -0
94, 3000.0001937151046, -0
95, 3100.0002001722746, -0
96, 3200.000206629445, -0
97, 3300.000213086615, -0
98, 3400.0002195437855, -0
99, 3500.0002260009555, -0
100, 3600.0002324581255, -0
101, 3700.000238915296, -0
102, 3800.0002453724655, -0
103, 3900.0002518296355, -0
104, 4000.000258286806, -0
105, 4100.000264743976, -0
106, 4200.0002712011465, -0
107, 4300.000277658316, -0
108, 4400.0002841154865, -0
109, 4500.000290572657, -0
110, 4600.0002970298265, -0
111, 4700.000303486997, -0
112, 4800.000309944167, -0
113, 4900.000316401338, -0
114, 5000.000322858507, -0
115, 5100.000329315678, -0
116, 5200.000335772848, -0
117, 5300.000342230018, -0
118, 5400.000348687188, -0
119, 5500.000355144359, -0
120, 5600.000361601528, -0
121, 5700.000368058699, -0
122, 5800.000374515869, -0
123, 5900.000380973039, -0
124, 6000.000387430209, -0
125, 6100.00039388738, -0
126, 6200.000400344549, -0
127, 6300.00040680172, -0
128, 6400.00041325889, -0
[+] Lines, 128
0, 0, 1
1, 1, 2
2, 2, 3
3, 3, 4
4, 4, 5
5, 5, 6
6, 6, 7
7, 7, 8
8, 8, 9
9, 9, 10
10, 10, 11
11, 11, 12
12, 12, 13
13, 13, 14
14, 14, 15
15, 15, 16
16, 16, 17
17, 17, 18
18, 18, 19
19, 19, 20
20, 20, 21
21, 21, 22
22, 22, 23
23, 23, 24
24, 24, 25
25, 25, 26
26, 26, 27
27, 27, 28
28, 28, 29
29, 29, 30
30, 30, 31
31, 31, 32
32, 32, 33
33, 33, 34
34, 34, 35
35, 35, 36
36, 36, 37
37, 37, 38
38, 38, 39
39, 39, 40
40, 40, 41
41, 41, 42
42, 42, 43
43, 43, 44
44, 44, 45
45, 45, 46
46, 46, 47
47, 47, 48
48, 48, 49
49, 49, 50
50, 50, 51
51, 51, 52
52, 52, 53
53, 53, 54
54, 54, 55
55, 55, 56
56, 56, 57
57, 57, 58
58, 58, 59
59, 59, 60
60, 60, 61
61, 61, 62
62, 62, 63
63, 63, 64
64, 64, 65
65, 65, 66
66, 66, 67
67, 67, 68
68, 68, 69
69, 69, 70
70, 70, 71
71, 71, 72
72, 72, 73
73, 73, 74
74, 74, 75
75, 75, 76
76, 76, 77
77, 77, 78
78, 78, 79
79, 79, 80
80, 80, 81
81, 81, 82
82, 82, 83
83, 83, 84
84, 84, 85
85, 85, 86
86, 86, 87
87, 87, 88
88, 88, 89
89, 89, 90
90, 90, 91
91, 91, 92
92, 92, 93
93, 93, 94
94, 94, 95
95, 95, 96
96, 96, 97
97, 97, 98
98, 98, 99
99, 99, 100
100, 100, 101
101, 101, 102
102, 102, 103
103, 103, 104
104, 104, 105
105, 105, 106
106, 106, 107
107, 107, 108
108, 108, 109
109, 109, 110
110, 110, 111
111, 111, 112
112, 112, 113
113, 113, 114
114, 114, 115
115, 115, 116
116, 116, 117
117, 117, 118
118, 118, 119
119, 119, 120
120, 120, 121
121, 121, 122
122, 122, 123
123, 123, 124
124, 124, 125
125, 125, 126
126, 126, 127
127, 127, 128
######################################################
######################################################
