######################################################
####### Samson Mano's Varai2D Raw Data ###############
######################################################
[+] End Points, 49
0, -1131.370895519334, -5.298191029020185E-06
3, -565.6854791678179, -5.298191029020185E-06
1, -5.751811053575091E-05, -5.298191029020185E-06
2, -989.9495460673722, 141.42135475015297
4, -707.1068365670664, -141.42135475015297
5, -424.2641270667604, 141.42135475015297
6, -141.42140697007247, -141.42135475015297
7, -848.5281966154104, -5.298191029020185E-06
8, -282.8427776147985, -5.298191029020185E-06
9, 141.42124954832317, 141.42135475015297
10, 424.26403322330344, -141.42135475015297
11, 565.6853826752654, -5.298191029020185E-06
12, 707.1067321272272, 141.42135475015297
13, 989.9495158022077, -141.42135475015297
14, 1131.3706957120567, -5.298191029020185E-06
15, 282.8425990002851, -5.298191029020185E-06
16, 848.5279968081328, -5.298191029020185E-06
17, -1414.2135944232577, -5.298191029020185E-06
18, 1414.2133946159804, -5.298191029020185E-06
19, -1414.2135944232577, 282.84271139187865
20, -1272.7923386309574, 424.26407957577294
21, -848.5281966154104, 282.84271139187865
22, -707.1068365670664, 424.26407957577294
23, -282.8427776147985, 282.84271139187865
24, -1131.370895519334, 282.84271139187865
25, -565.6854791678179, 282.84271139187865
26, -141.42140697007247, 424.26407957577294
27, 282.8425990002851, 282.84271139187865
28, 424.26403322330344, 424.26407957577294
29, 848.5279968081328, 282.84271139187865
30, -5.751811053575091E-05, 282.84271139187865
31, 565.6853826752654, 282.84271139187865
32, -1697.0562183994527, 282.84271139187865
33, 1131.3706957120567, 282.84271139187865
34, -848.5281966154104, -282.84271139187865
35, -424.2641270667604, -424.26407957577294
36, -282.8427776147985, -282.84271139187865
37, 141.42124954832317, -424.26407957577294
38, 282.8425990002851, -282.84271139187865
39, -565.6854791678179, -282.84271139187865
40, -5.751811053575091E-05, -282.84271139187865
41, 707.1067321272272, -424.26407957577294
42, 848.5279968081328, -282.84271139187865
43, 1272.7922387273186, -424.26407957577294
44, 1414.2133946159804, -282.84271139187865
45, 565.6853826752654, -282.84271139187865
46, 1131.3706957120567, -282.84271139187865
47, -1131.370895519334, -282.84271139187865
48, 1697.0562183994527, -282.84271139187865
[+] Lines, 78
1, 0, 2
4, 4, 3
5, 3, 5
7, 6, 1
0, 2, 7
2, 7, 4
3, 5, 8
6, 8, 6
8, 0, 7
9, 7, 3
10, 3, 8
11, 8, 1
12, 1, 9
13, 10, 11
14, 11, 12
15, 13, 14
16, 9, 15
17, 15, 10
18, 12, 16
19, 16, 13
20, 1, 15
21, 15, 11
22, 11, 16
23, 16, 14
24, 17, 0
25, 14, 18
26, 19, 20
27, 2, 21
28, 21, 22
29, 5, 23
30, 20, 24
31, 24, 2
32, 22, 25
33, 25, 5
34, 19, 24
35, 24, 21
36, 21, 25
37, 25, 23
38, 23, 26
39, 9, 27
40, 27, 28
41, 12, 29
42, 26, 30
43, 30, 9
44, 28, 31
45, 31, 12
46, 23, 30
47, 30, 27
48, 27, 31
49, 31, 29
50, 32, 19
51, 29, 33
52, 34, 4
53, 35, 36
54, 36, 6
55, 37, 38
56, 4, 39
57, 39, 35
58, 6, 40
59, 40, 37
60, 34, 39
61, 39, 36
62, 36, 40
63, 40, 38
64, 38, 10
65, 41, 42
66, 42, 13
67, 43, 44
68, 10, 45
69, 45, 41
70, 13, 46
71, 46, 43
72, 38, 45
73, 45, 42
74, 42, 46
75, 46, 44
76, 47, 34
77, 44, 48
######################################################
######################################################
